Words,Frequency,syllabified
na,1736289,na
ya,1693058,ya
wa,1178912,wa
kwa,777053,ku-wa
ni,566846,ni
za,380463,za
katika,318708,ka-ti-ka
la,285471,la
kama,253290,ka-ma
kuwa,225112,ku-wa
cha,174044,ca
kwenye,161834,ku-we-ni-ye
cr,150162,ci-ri
sana,139879,sa-na
watu,138743,wa-tu
serikali,131559,se-ri-ka-li
au,125541,a-u
nchi,123405,ni-ci
the,122295,ti-he
hii,117863,hi-i
hiyo,115878,hi-yo
yake,113405,ya-ke
tu,104948,tu
sasa,102176,sa-sa
rais,100261,ra-i-si
hata,99905,ha-ta
mkuu,94758,mi-ku-u
vya,94650,vi-ya
tanzania,94291,ta-ni-za-ni-a
mwaka,93686,mu-wa-ka
ili,93264,i-li
lakini,93203,la-ki-ni
wakati,89458,wa-ka-ti
kwamba,87889,ku-wa-mi-ba
katiba,87502,ka-ti-ba
kuna,81596,ku-na
wake,80434,wa-ke
pia,77831,pi-a
hivyo,77403,hi-vi-yo
ccm,76185,ci-ci-mi
kila,75152,ki-la
zaidi,74977,za-i-di
kazi,72618,ka-zi
baada,70927,ba-a-da
moja,70714,mo-ja
kutoka,69383,ku-to-ka
mtu,69187,mu-tu
ndio,68452,ni-di-o
of,68376,o-fi
siku,64970,si-ku
maana,64289,ma-a-na
huo,64093,hu-o
said,62536,sa-i-di
wananchi,59030,wa-na-ni-ci
nchini,57816,ni-ci-ni
pamoja,57744,pa-mo-ja
huu,56975,hu-u
and,56852,a-ni-di
to,54948,to
wao,54182,wa-o
yao,53823,ya-o
ambayo,53625,a-mi-ba-yo
hadi,53602,ha-di
chama,53186,ca-ma
taifa,52427,ta-i-fa
hilo,52418,hi-lo
mambo,52061,ma-mu-bo
miaka,51395,mi-a-ka
unk,50658,u-ni-ki
juu,50273,ju-u
hapa,49194,ha-pa
wote,48813,wo-te
sababu,48680,sa-ba-bu
kubwa,48651,ku-bi-wa
sheria,47842,se-ri-a
ndani,47836,ni-da-ni
sio,47698,si-o
hili,47656,hi-li
hapo,47250,ha-po
kwanza,46405,ku-wa-ni-za
wengi,46251,we-ni-gi
hayo,45924,ha-yo
hivi,45550,hi-vi
bila,45396,bi-la
ambao,44928,a-mu-ba-o
kufanya,44493,ku-fa-ni-ya
muda,44406,mu-da
ila,44344,i-la
huko,43709,hu-ko
leo,43388,le-o
muungano,43044,mu-u-ga-no
in,42992,i-ni
mara,42963,ma-ra
wewe,42819,we-we
bunge,42818,bu-ni-ge
kati,42410,ka-ti
alikuwa,42393,a-li-ku-wa
hakuna,42355,ha-ku-na
alisema,41528,a-li-se-ma
hao,41395,ha-o
nini,41205,ni-ni
kweli,40482,ku-we-li
kuhusu,40172,ku-hu-su
kabisa,40085,ka-bi-sa
viongozi,39914,vi-o-ni-go-zi
mahakama,39518,ma-ha-ka-ma
mpya,39459,mu-pi-ya
tena,38760,te-na
hizo,38697,hi-zo
si,38638,si
zanzibar,38383,za-ni-zi-ba-ri
habari,37931,ha-ba-ri
zao,37199,za-o
haki,36662,ha-ki
fedha,36517,fe-di-ha
mungu,36303,mu-ni-gu
mmoja,36295,mi-mo-ja
hali,36241,ha-li
waziri,35216,wa-zi-ri
mpaka,35123,mu-pa-ka
wengine,35013,we-ni-gi-ne
uchaguzi,34915,u-ca-gu-zi
chini,34243,ci-ni
mimi,34109,mi-mi
watanzania,34001,wa-ta-ni-za-ni-a
zote,32950,zo-te
gani,32628,ga-ni
yetu,32617,ye-tu
bado,32595,ba-do
taarifa,32474,ta-a-ri-fa
sehemu,32459,se-he-mu
kutoa,32438,ku-to-a
yote,32175,yo-te
wenye,31891,we-ni-ye
huku,31689,hu-ku
nje,31104,ni-je
yako,31098,ya-ko
huyo,30985,hu-yo
hawa,30882,ha-wa
kura,30773,ku-ra
kitu,30688,ki-tu
haya,30560,ha-ya
yeye,30523,ye-ye
maji,30522,ma-ji
huyu,30085,hu-yu
basi,29818,ba-si
wilaya,29679,wi-la-ya
mama,29361,ma-ma
kutokana,29356,ku-to-ka-na
afrika,29329,a-fu-ri-ka
biashara,29168,bi-a-sa-ha-ra
mbili,29075,mi-bi-li
chadema,28979,ca-ha-de-ma
nyingi,28926,ni-yi-gi
samia,28856,sa-mi-a
ajili,28745,a-ji-li
mbalimbali,28725,mi-ba-li-mi-ba-li
kwani,28611,ku-wa-ni
marekani,28462,ma-re-ka-ni
kupata,28359,ku-pa-ta
eneo,28311,e-ne-o
siasa,28292,si-a-sa
bwana,27907,bu-wa-na
hoja,27811,ho-ja
bora,27601,bo-ra
wetu,27519,we-tu
jambo,27294,ja-mu-bo
nafasi,27079,na-fa-si
zake,27075,za-ke
kilimo,26974,ki-li-mo
huduma,26960,hu-du-ma
dar,26862,da-ri
hatua,26636,ha-tu-a
lazima,26402,la-zi-ma
kabla,26336,ka-bi-la
mkoa,26268,mu-ko-a
kuu,26226,ku-u
hizi,26212,hi-zi
baadhi,26122,ba-a-di-hi
ambaye,25971,a-mu-ba-ye
ambapo,25865,a-mi-ba-po
ndiyo,25772,ni-di-yo
tanganyika,25662,ta-ni-ga-ni-yi-ka
wako,25654,wa-ko
gid,25649,gi-di
wana,25503,wa-na
maisha,25421,ma-i-sa-ha
kupitia,25391,ku-pi-ti-a
mkubwa,25365,mu-ku-bu-wa
ilikuwa,25327,i-li-ku-wa
elimu,25311,e-li-mu
wizara,25184,wi-za-ra
amesema,25141,a-me-se-ma
hasa,25061,ha-sa
wale,25009,wa-le
wala,24969,wa-la
is,24858,i-si
sawa,24577,sa-wa
maeneo,24560,ma-e-ne-o
maendeleo,24471,ma-e-ni-de-le-o
jina,24470,ji-na
njia,24437,ni-ji-a
vile,24426,vi-le
pale,24389,pa-le
tatu,24271,ta-tu
je,24076,je
kipindi,23654,ki-pi-ni-di
umma,23541,u-mu-ma
tume,23199,tu-me
kiasi,23075,ki-a-si
nyingine,22951,ni-yi-gi-ne
mkataba,22925,mu-ka-ta-ba
nyerere,22875,ni-ye-re-re
yangu,22724,ya-ni-gu
mamlaka,22655,ma-mu-la-ka
sisi,22604,si-si
watoto,22360,wa-to-to
kwenda,22275,ku-we-ni-da
uhuru,22255,u-hu-ru
nguvu,22030,ni-gu-vu
muhimu,22019,mu-hi-mu
yenye,22008,ye-ni-ye
mji,21926,mi-ji
mfumo,21925,mi-fu-mo
wapi,21881,wa-pi
kutumia,21769,ku-tu-mi-a
aina,21767,a-i-na
mwa,21623,mu-wa
kiongozi,21556,ki-o-go-zi
uwezo,21415,u-we-zo
upande,21367,u-pa-ni-de
tofauti,21353,to-fa-u-ti
akili,21336,a-ki-li
kuliko,21295,ku-li-ko
asilimia,21283,a-si-li-mi-a
yaani,21247,ya-a-ni
ile,21200,i-le
maoni,21174,ma-o-ni
vizuri,21156,vi-zu-ri
mwenye,20875,mu-we-ni-ye
mengi,20840,me-ni-gi
bei,20758,be-i
pesa,20620,pe-sa
mzee,20616,mu-ze-e
taasisi,20588,ta-a-si-si
hicho,20428,hi-co-ho
vyama,20321,vi-ya-ma
tatizo,20279,ta-ti-zo
kenya,20139,ke-ni-ya
vijana,20039,vi-ja-na
nani,20026,na-ni
afya,20020,a-fi-ya
magufuli,19946,ma-gu-fu-li
mwisho,19873,mu-wi-so-ho
mfano,19839,mu-fa-no
ndo,19833,ni-do
ikiwa,19819,i-ki-wa
dhidi,19773,di-hi-di
jamii,19720,ja-mi-i
huwa,19714,hu-wa
ambazo,19570,a-mu-ba-zo
mbali,19514,mu-ba-li
for,19489,fo-ri
salaam,19395,sa-la-a-mi
namna,19352,na-mu-na
es,19165,e-si
polisi,19063,po-li-si
walikuwa,19014,wa-li-ku-wa
mwezi,18910,mu-we-zi
pili,18841,pi-li
ina,18607,i-na
akiwa,18599,a-ki-wa
s,18593,si
mbele,18591,mu-be-le
kusema,18581,ku-se-ma
matumizi,18417,ma-tu-mi-zi
ndugu,18373,ni-du-gu
ukweli,18319,u-ku-we-li
mhe,18304,mi-he
ana,18289,a-na
siyo,18257,si-yo
historia,18189,hi-si-to-ri-a
tangu,18151,ta-ni-gu
bandari,18137,ba-ni-da-ri
vita,18122,vi-ta
karibu,18111,ka-ri-bu
binafsi,18105,bi-na-fi-si
kawaida,18063,ka-wa-i-da
wabunge,18057,wa-bu-ni-ge
tayari,17933,ta-ya-ri
mwenyekiti,17812,mi-we-ni-ye-ki-ti
mkono,17776,mi-ko-no
that,17541,ti-ha-ti
jeshi,17476,je-si
shule,17305,su-le
at,17240,a-ti
dunia,17145,du-ni-a
msingi,17107,mi-si-gi
umoja,17062,u-mo-ja
jamhuri,17021,ja-mi-hu-ri
suala,16957,su-a-la
spika,16942,si-pi-ka
kamati,16927,ka-ma-ti
duniani,16814,du-ni-a-ni
umeme,16721,u-me-me
ofisi,16720,o-fi-si
milioni,16710,mi-li-o-ni
ujenzi,16658,u-je-ni-zi
wazi,16657,wa-zi
bali,16647,ba-li
tarehe,16625,ta-re-he
mjini,16621,mi-ji-ni
yoyote,16590,yo-yo-te
nao,16574,na-o
chakula,16542,ca-ku-la
mradi,16469,mi-ra-di
lugha,16469,lu-gi-ha
uchumi,16464,u-cu-mi
kusini,16171,ku-si-ni
zetu,15876,ze-tu
kidogo,15835,ki-do-go
mengine,15771,me-ni-gi-ne
gharama,15711,gi-ha-ra-ma
nyumba,15699,ni-yu-mi-ba
wenyewe,15648,we-ni-ye-we
mheshimiwa,15509,mi-he-si-mi-wa
view,15462,vi-e-wi
dini,15439,di-ni
kampuni,15434,ka-mi-pu-ni
ndege,15361,ni-de-ge
mkutano,15253,mu-ku-ta-no
utawala,15249,u-ta-wa-la
mwingine,15219,mu-wi-gi-ne
kuanzia,15219,ku-a-ni-zi-a
kisiasa,15213,ki-si-a-sa
lake,15071,la-ke
shughuli,15040,su-gu-hu-li
mbaya,15001,mi-ba-ya
mbunge,14921,mi-bu-ge
makubwa,14884,ma-ku-bi-wa
kundi,14838,ku-ni-di
usalama,14830,u-sa-la-ma
kimataifa,14803,ki-ma-ta-i-fa
uongozi,14739,u-o-go-zi
kodi,14685,ko-di
by,14667,ba-yi
kesi,14643,ke-si
mbona,14636,mi-bo-na
baba,14621,ba-ba
jaji,14606,ja-ji
shilingi,14603,si-hi-li-ni-gi
idadi,14510,i-da-di
mabadiliko,14389,ma-ba-di-li-ko
upinzani,14386,u-pi-ni-za-ni
unaweza,14331,u-na-we-za
badala,14297,ba-da-la
jamaa,14290,ja-ma-a
nzuri,14274,ni-zu-ri
mwalimu,14155,mi-wa-li-mu
mataifa,14136,ma-ta-i-fa
mazingira,14124,ma-zi-gi-ra
mali,14032,ma-li
halafu,14010,ha-la-fu
was,13970,wa-si
wangu,13967,wa-ni-gu
it,13960,i-ti
sekta,13950,se-ki-ta
kuendelea,13944,ku-e-ni-de-le-a
mwenyewe,13940,mi-we-ni-ye-we
kina,13929,ki-na
jumla,13729,ju-mi-la
lengo,13720,le-ni-go
picha,13668,pi-ca-ha
miradi,13605,mi-ra-di
on,13555,o-ni
naye,13545,na-ye
we,13372,we
jana,13363,ja-na
mpango,13351,mu-pa-go
dola,13346,do-la
mapinduzi,13277,ma-pi-ni-du-zi
ambalo,13262,a-mi-ba-lo
amani,13259,a-ma-ni
jinsi,13257,ji-ni-si
wajumbe,13242,wa-ju-mi-be
shirika,13239,si-hi-ri-ka
ardhi,13211,a-ri-di-hi
bungeni,13205,bu-ni-ge-ni
mashariki,13169,ma-sa-ri-ki
kuku,13131,ku-ku
jimbo,13118,ji-mi-bo
halmashauri,13065,ha-li-ma-sa-u-ri
as,13063,a-si
matokeo,13045,ma-to-ke-o
yule,13015,yu-le
kuongeza,13013,ku-o-ge-za
mafuta,12983,ma-fu-ta
baraza,12895,ba-ra-za
kadhaa,12849,ka-di-ha-a
una,12832,u-na
kuona,12821,ku-o-na
hiki,12805,hi-ki
mazao,12788,ma-za-o
maneno,12761,ma-ne-no
dodoma,12727,do-do-ma
wiki,12691,wi-ki
attachment,12673,a-ta-ci-me-ni-ti
vyombo,12633,vi-yo-mi-bo
mtoto,12530,mu-to-to
familia,12514,fa-mi-li-a
dr,12467,di-ri
raia,12461,ra-i-a
kuweka,12419,ku-we-ka
wapo,12414,wa-po
kujenga,12396,ku-je-ni-ga
chake,12395,ca-ke
sahihi,12386,sa-hi-hi
a,12380,a
aidha,12346,a-i-di-ha
fulani,12290,fu-la-ni
kwanini,12257,ku-wa-ni-ni
mchakato,12114,mi-ca-ka-to
watumishi,12110,wa-tu-mi-si
toka,12105,to-ka
changamoto,12098,ca-ni-ga-mo-to
pekee,12098,pe-ke-e
dawa,12091,da-wa
barabara,12086,ba-ra-ba-ra
wanawake,12053,wa-na-wa-ke
kuanza,11987,ku-a-ni-za
kuhakikisha,11904,ku-ha-ki-ki-sa
maalum,11889,ma-a-lu-mi
katibu,11859,ka-ti-bu
anasema,11821,a-na-se-ma
you,11792,yo-u
from,11763,fi-ro-mi
mbowe,11721,mi-bo-we
mujibu,11689,mu-ji-bu
huru,11661,hu-ru
utekelezaji,11618,u-te-ke-le-za-ji
bara,11617,ba-ra
ule,11602,u-le
naomba,11587,na-o-mi-ba
kisha,11562,ki-sa-ha
hawana,11511,ha-wa-na
kujua,11461,ku-ju-a
kanisa,11455,ka-ni-sa
kwake,11453,ki-wa-ke
sijui,11435,si-ju-i
kauli,11431,ka-u-li
chuo,11428,cu-o
kanuni,11386,ka-nu-ni
bilioni,11386,bi-li-o-ni
sita,11371,si-ta
kufikia,11317,ku-fi-ki-a
kiwango,11306,ki-wa-ni-go
with,11296,wi-ti-hi
shida,11288,si-hi-da
wakulima,11282,wa-ku-li-ma
nyuma,11273,ni-yu-ma
maslahi,11211,ma-si-la-hi
this,11138,ti-hi-si
ripoti,11119,ri-po-ti
mrefu,11048,mi-re-fu
rasimu,11036,ra-si-mu
faida,11023,fa-i-da
saa,10946,sa-a
mikoa,10863,mi-ko-a
binadamu,10846,bi-na-da-mu
ama,10844,a-ma
fursa,10775,fu-ri-sa
be,10766,be
utaratibu,10757,u-ta-ra-ti-bu
kumi,10728,ku-mi
wakuu,10713,wa-ku-u
labda,10702,la-bi-da
timu,10680,ti-mu
awamu,10678,a-wa-mu
mafunzo,10674,ma-fu-ni-zo
masuala,10664,ma-su-a-la
lissu,10655,li-si-su
vitu,10636,vi-tu
itakuwa,10553,i-ta-ku-wa
ukawa,10532,u-ka-wa
sh,10472,si
mbegu,10419,mi-be-gu
are,10389,a-re
madaraka,10381,ma-da-ra-ka
tano,10330,ta-no
ipo,10318,i-po
ndogo,10254,ni-do-go
iwe,10252,i-we
hana,10223,ha-na
sera,10217,se-ra
ushauri,10185,u-si--ha-u-ri
awali,10174,a-wa-li
kituo,10155,ki-tu-o
kile,10137,ki-le
zamani,10132,za-ma-ni
soko,10101,so-ko